1	415128
1	529852
2	373908
3	3093
3	334351
3	1037587
4	3094
4	1037592
5	3095
5	696081
6	3096
6	355044
7	3097
8	3098
9	3099
10	3100
10	435926
11	3101
12	3102
13	3103
14	3104
15	3105
16	3106
17	3107
18	3108
19	3109
20	3110
21	3112
22	3113
23	3114
24	3115
25	3116
26	3118
27	3120
28	3123
28	465948
28	495009
29	3124
30	3125
31	3126
32	3127
33	378541
34	3129
35	3131
35	919151
36	3132
37	3133
38	3136
39	3138
40	3139
40	529971
41	3140
42	3141
42	465174
43	3142
44	3143
45	3144
46	3145
47	3147
48	3150
49	3153
50	3155
51	3156
52	3157
53	3164
54	3175
55	3176
56	3184
57	3189
58	3199
59	3201
60	3247
61	3313
62	3450
63	3451
64	3452
65	3453
66	3454
67	3455
68	3456
69	3464
70	3487
71	3488
72	3489
73	3543
74	3598
75	3888
7166	332382
119950	119951
119952	119953
136201	11493
136206	136207
136235	131343
136236	6925
136238	6305
136401	6145
136402	128052
136598	133032
136598	136573
136604	136605
136613	136614
136646	136626
139673	3250
139673	2075910
180700	180698
180705	180704
180706	128003
180712	180714
181028	474303
330581	544849
330581	1333260
330583	139919
330584	3908
330586	180716
330587	180715
330588	180801
330589	180708
330590	180702
330591	180699
332135	332136
332420	6305
332421	181854
332422	439785
332423	336135
332425	7074
332429	530383
332430	1406466
332433	651542
332435	130074
332436	129525
332437	14837
332440	336066
332442	409869
332443	737329
332445	805187
332445	805189
332445	1557993
332447	332463
332449	332446
332450	7019
332450	7173
332451	332458
332452	571845
332453	332457
332454	128462
332460	805195
332464	181835
332465	332475
332466	674065
332467	10142
332468	14243
332470	11417
332471	2456987
332472	686491
332474	332476
332478	332482
332479	332483
332480	332484
332485	1383762
332487	332527
332488	433177
332488	498617
332489	11628
332498	651635
332499	130192
332500	332497
332507	332510
332509	11742
332518	134781
332520	1406467
332522	332514
332523	332511
332524	332519
332526	336168
332529	332531
332532	332521
332533	332534
332537	128315
332540	335706
332545	335727
332548	2307180
332554	334574
332556	8833
332557	336215
332562	127533
332565	399957
332566	407113
332568	129589
332568	129590
332570	618281
332571	618286
332572	384864
332573	332574
332575	14982
332576	132523
332578	373234
332580	336130
332582	431355
332583	335728
332586	688060
332587	336129
332591	9136
332593	332627
332594	3870
332595	128104
332600	336132
332603	390945
332605	10487
332607	2119593
332608	8886
332609	6429
332617	332623
332618	331821
332619	332620
332621	11054
332622	11562
332629	11985
332634	14972
332635	12982
332637	15520
332637	465705
332638	3977
332639	128790
332640	453321
332642	332648
332645	332646
332655	336140
332657	135357
332660	335924
332661	134766
332662	10430
332663	332664
332663	426237
332667	332665
332670	332672
332673	1385343
332676	336065
332679	128764
332684	10035
332685	332682
332688	181453
332689	9321
332690	8140
332698	621443
332699	332697
332701	132776
332706	332704
332708	3292
332710	483135
332711	335942
332712	1033163
332715	10268
332715	442522
332718	6837
332721	332720
332722	132717
332723	483139
332724	805865
332725	9471
332726	483137
332727	415696
332728	10415
332729	337970
332730	805871
332731	805872
332734	9021
332735	337971
332742	127413
332744	128279
332745	3588
332750	181563
332752	6564
332753	430369
332755	131416
332756	140044
332757	332761
332759	336057
332760	133691
332762	127738
332763	483190
332765	483189
332765	805874
332766	335682
332767	135491
332768	1402559
332769	334895
332770	132676
332771	13873
332772	1467394
332775	136333
332777	336211
332778	684467
332779	1134428
332783	133053
332783	661085
332784	488967
332784	488968
332786	2106725
332789	1473737
332790	483195
332792	335926
332795	2752044
332796	335725
332797	335707
332802	12088
332807	1402547
332808	133671
332815	130468
332816	334567
332819	15152
332820	331197
332822	483226
332823	136580
332825	336142
332826	336144
332829	483220
332830	331117
332832	533424
332834	540282
332837	4019
332838	429680
332842	483296
332849	332071
332850	8161
332850	483305
332853	700770
332854	461632
332856	4092
332860	335915
332862	131032
332866	483314
332870	3484
332871	134968
332872	335916
332877	6927
332878	332888
332881	332882
332881	464793
332885	1010173
332892	130941
332894	332965
332896	128504
332898	3660
332899	332976
332900	332977
332901	12840
332902	332992
332903	8268
332904	332998
332905	134295
332906	333006
332908	9564
332910	333011
332911	435213
332912	333018
332913	7906
332915	333020
332916	333021
332918	483346
332919	482870
332920	12984
332923	4205
332924	2109914
332925	14856
332926	11193
332926	1045410
332928	336146
332932	336213
332933	1467310
332934	6319
332935	3254
332941	130693
332943	760036
332945	336056
332948	335941
332952	336127
332955	138908
332961	129939
332962	134687
332970	130242
332979	389880
332981	3050750
332983	2109932
332985	335921
332987	822687
332990	431351
332993	14782
332994	1807105
333003	11887
333005	910342
333007	129594
333008	335914
333013	336148
333014	10773
333015	3522
333016	3138416
333023	333018
333024	333019
333026	333021
333027	333022
